상호명,주소,작성자,평점들,방문일,리뷰내용,태그들
광주옥1947,광주광역시 서구 상무대로 1104-20,cialib,리뷰 173,방문일 | 21.7.25.일 | 2021년 7월 25일 일요일 | 1번째 방문 | 인증 수단 | 영수증,좋습니다,매장이 넓어요
오늘의초밥,경기 수원시 영통구 센트럴파크로127번길 18,지루기,리뷰 154,방문일 | 20.11.3.화 | 2020년 11월 3일 화요일 | 1번째 방문 | 인증 수단 | 영수증,오늘의 초밥은 맛있엇어요 장국도 친절하게 리필 해주셔서 부족함 없이 먹었어요. 하지만 카이센통은 살짝 비렸어요 ㅠㅠ,
성동구 중앙감속기,서울 성동구 성수일로6길 7-1,온맘담아70,리뷰 62,방문일 | 23.1.5.목 | 2023년 1월 5일 목요일 | 1번째 방문 | 인증 수단 | 결제내역,"네이버 예약이 다음날 예약인줄 모르고..
당일 예약인줄 알고 잘못 예약했는데 전화로 다시 확인해주시고 당일예약도 준비해주셔서 애기 둘까지 있었는데 넘 편하고 맛있게 먹고 왔습니다.
음식들이 다 새롭고 신선한 메뉴들이 였지만
맛은 크게 불호 없이 먹을수있었어요.
애기들도 잘 먹었구요~ 직원분들도 모두 친절하셨습니다^^",친절해요 | 매장이 넓어요 | 특별한 메뉴가 있어요 | 음식이 맛있어요 | 재료가 신선해요
서울 성동구 로컬릿,서울 성동구 한림말길 33,나주베,리뷰 162,방문일 | 22.4.17.일 | 2022년 4월 17일 일요일 | 1번째 방문 | 인증 수단 | 영수증,굿,음식이 맛있어요
마마리다이닝,서울 영등포구 국제금융로 10 IFC몰 L3층 306호,누리40,"리뷰 1,436",방문일 | 4.20.토 | 2024년 4월 20일 토요일 | 1번째 방문 | 인증 수단 | 영수증,"개인별 밥상으로 깔끔하고
양도 많고
소고기스테이크 반상 맛있어요",음식이 맛있어요 | 재료가 신선해요 | 양이 많아요
성수동 엘몰리노,서울 성동구 서울숲2길 19-18,크롱크롱75,리뷰 876,방문일 | 23.12.14.목 | 2023년 12월 14일 목요일 | 1번째 방문 | 인증 수단 | 영수증,맛은 있는데 양이 적어서 여러 개를 시켜야해서 아쉬웠어요,음식이 맛있어요 | 인테리어가 멋져요 | 친절해요
서울 성동구 로컬릿,서울 성동구 한림말길 33,Hellomello,리뷰 34,방문일 | 23.3.1.수 | 2023년 3월 1일 수요일 | 1번째 방문 | 인증 수단 | 예약,친구와 모이을 위해 예약시 아기의자 부탁드렸는데 친절하게 준비해주셨어요~ 맛있고 비건메뉴라 같은 뇨끼라도 맛도 색 다르고 덜 자극적이여서 좋았습니다😀,친절해요 | 매장이 청결해요 | 특별한 메뉴가 있어요 | 음식이 맛있어요
서울 신사동 에빗,서울 강남구 도산대로45길 10-5,sma****,리뷰 79,방문일 | 21.1.23.토 | 2021년 1월 23일 토요일 | 1번째 방문 | 인증 수단 | 영수증,전통주 페어링으로 독특하고 맛있게 식사했습니다.,
서울 깃든,서울 강북구 월계로7나길 46-5,ang****,리뷰 6,방문일 | 8.30.금 | 2024년 8월 30일 금요일 | 1번째 방문 | 인증 수단 | 예약,"언제 방문을 하여도 친절하고 음식 맛있고~
지인들한테 추천을 하면 꼭 다시 오겠다고들 하네요.. 넘넘 맛나게 양많아 많이 먹었어요~",음식이 맛있어요 | 양이 많아요 | 아늑해요 | 친절해요 | 매장이 청결해요
이태원 잭잭,서울 용산구 회나무로6길 21,han****,리뷰 17,방문일 | 6.26.수 | 2024년 6월 26일 수요일 | 2번째 방문 | 인증 수단 | 영수증,모든 메뉴 하나하나가 정말 너무 맛있고 마약입니다!!,음식이 맛있어요 | 재료가 신선해요 | 특별한 메뉴가 있어요 | 친절해요 | 인테리어가 멋져요
이태원 잭잭,서울 용산구 회나무로6길 21,imp****,리뷰 5,방문일 | 10.7.월 | 2024년 10월 7일 월요일 | 1번째 방문 | 인증 수단 | 영수증,"If you’re looking for Korea’s best Nashville hot chicken sandwich, Jack Jack is the place! Crispy, juicy, and packed with authentic flavor—every bite is a delight. The spice level is perfect, and the portions are generous. Friendly service and a great atmosphere make it a must-visit spot. Don’t miss out, come try it for yourself!",음식이 맛있어요
방배동 와일드플라워,서울 서초구 방배로26길 19,ool****,리뷰 8,방문일 | 23.10.24.화 | 2023년 10월 24일 화요일 | 1번째 방문 | 인증 수단 | 영수증,분위기도 좋고 맛도 좋아요^^ 방배동에 이런 맛집이 생겨서 너무 좋네요!!,음식이 맛있어요 | 인테리어가 멋져요 | 매장이 넓어요
서울 성동구 로컬릿,서울 성동구 한림말길 33,plamu sangdo,리뷰 3,방문일 | 22.1.17.월 | 2022년 1월 17일 월요일 | 1번째 방문 | 인증 수단 | 예약,"재료가 신선하고 맛도 좋습니다
서빙보는 여직원분이 매우 친절하세요",특별한 메뉴가 있어요 | 재료가 신선해요 | 음식이 맛있어요 | 매장이 넓어요 | 단체모임 하기 좋아요
방배동 와일드플라워,서울 서초구 방배로26길 19,Hannah86,리뷰 6,방문일 | 7.25.목 | 2024년 7월 25일 목요일 | 2번째 방문 | 인증 수단 | 예약,최근 제 최애 식당입니다☺️ 어느 메뉴 하나 버릴 게 없고 너무너무 맛있어요 간이 딱 좋고요 인테리어도 정말 멋집니다 오픈키친이라서 위생도 안심이 되어요 주변 사람들 데리고 올 때마다 칭찬 받는 곳이에요 넘 맛있어요오💕,음식이 맛있어요 | 재료가 신선해요 | 특별한 메뉴가 있어요 | 인테리어가 멋져요 | 단체모임 하기 좋아요
이태원 잭잭,서울 용산구 회나무로6길 21,겨리85,리뷰 14,방문일 | 11.5.화 | 2024년 11월 5일 화요일 | 3번째 방문 | 인증 수단 | 영수증,맛나요,음식이 맛있어요 | 재료가 신선해요 | 양이 많아요
서울 종로 카페 오쁘띠베르,서울 종로구 자하문로 47-1,식객강선생,리뷰 589,방문일 | 23.4.29.토 | 2023년 4월 29일 토요일 | 1번째 방문 | 인증 수단 | 영수증,늦은 밤에 히비스커스 차와 레몬타르트 ~ 서촌속의 작은 프랑스에 온 기분이었습니다 감사합니다,음료가 맛있어요 | 디저트가 맛있어요 | 특별한 메뉴가 있어요 | 대화하기 좋아요 | 인테리어가 멋져요
오늘의초밥,경기 수원시 영통구 센트럴파크로127번길 18,이오공,리뷰 596,방문일 | 21.2.24.수 | 2021년 2월 24일 수요일 | 1번째 방문 | 인증 수단 | 영수증,언제 먹어도 기분 좋은 맛이에요~,
조광201,서울 송파구 새말로10길 8,안스리,리뷰 3,방문일 | 23.4.13.목 | 2023년 4월 13일 목요일 | 2번째 방문 | 인증 수단 | 예약,다른 음식들은 맛있게 먹었는데 풍미가지에 소금을 뿌리다 쏟으셨나봐요. 털어 먹어도 짜더라구요. 결국 2/3정도 남겼고 계산하면서 너무 짰다고 말씀 드렸는데.. 답변이 '그러셨어요 ?'가 다더라구요. 네 그랬습니다. 무지하게 짰습니다. '죄송합니다' 한마디면 될텐데.. 뒷맛은 썼습니다.,음식이 맛있어요
서울 여의도 63빌딩 터치 더 스카이,서울 영등포구 63로 50,jun****,리뷰 2,방문일 | 20.10.30.금 | 2020년 10월 30일 금요일 | 1번째 방문 | 인증 수단 | 예약,최고입니다,
서울 깃든,서울 강북구 월계로7나길 46-5,bongwater77,리뷰 320,방문일 | 23.7.26.수 | 2023년 7월 26일 수요일 | 1번째 방문 | 인증 수단 | 영수증,"반찬도 훌륭한 찐 맛집~
미사 오면 항상 들리는 곳이에요
해물갈비 최고~ ㅎ
번창하세요^^",단체모임 하기 좋아요 | 음식이 맛있어요 | 고기 질이 좋아요 | 특별한 메뉴가 있어요 | 가성비가 좋아요
